iter	Passed	Remaining
820	5031	1096
821	5036	1090
822	5043	1084
823	5048	1078
824	5054	1072
825	5060	1066
826	5066	1059
827	5072	1053
828	5080	1047
829	5086	1041
830	5093	1035
831	5099	1029
832	5105	1023
833	5111	1017
834	5113	1010
835	5118	1004
836	5125	998
837	5131	991
838	5136	985
839	5143	979
840	5148	973
841	5155	967
842	5160	961
843	5166	954
844	5172	948
845	5178	942
846	5184	936
847	5190	930
848	5196	924
849	5203	918
850	5209	912
851	5214	905
852	5221	899
853	5226	893
854	5232	887
855	5239	881
856	5244	875
857	5251	869
858	5257	862
859	5263	856
860	5269	850
861	5274	844
862	5280	838
863	5287	832
864	5293	826
865	5300	820
866	5306	813
867	5311	807
868	5316	801
869	5322	795
870	5327	789
871	5334	783
872	5340	776
873	5346	770
874	5352	764
875	5358	758
876	5364	752
877	5370	746
878	5376	740
879	5383	734
880	5389	728
881	5396	722
882	5402	715
883	5408	709
884	5415	703
885	5420	697
886	5426	691
887	5432	685
888	5438	679
889	5446	673
890	5452	667
891	5458	660
892	5465	654
893	5470	648
894	5479	642
895	5485	636
896	5491	630
897	5497	624
898	5503	618
899	5509	612
900	5515	606
901	5521	599
902	5528	593
903	5533	587
904	5539	581
905	5545	575
906	5551	569
907	5558	563
908	5563	557
909	5569	550
910	5576	544
911	5582	538
912	5588	532
913	5594	526
914	5600	520
915	5606	514
916	5612	508
917	5618	501
918	5625	495
919	5629	489
920	5634	483
921	5641	477
922	5646	471
923	5652	464
924	5656	458
925	5661	452
926	5667	446
927	5675	440
928	5680	434
929	5687	428
930	5693	421
931	5698	415
932	5705	409
933	5710	403
934	5713	397
935	5719	391
936	5725	384
937	5731	378
938	5738	372
939	5741	366
940	5747	360
941	5754	354
942	5759	348
943	5766	342
944	5772	335
945	5777	329
946	5783	323
947	5789	317
948	5794	311
949	5801	305
950	5806	299
951	5812	293
952	5818	286
953	5824	280
954	5831	274
955	5836	268
956	5842	262
957	5848	256
958	5856	250
959	5864	244
960	5872	238
961	5879	232
962	5886	226
963	5891	220
964	5898	213
965	5904	207
966	5909	201
967	5916	195
968	5921	189
969	5928	183
970	5934	177
971	5940	171
972	5946	165
973	5952	158
974	5958	152
975	5964	146
976	5969	140
977	5975	134
978	5981	128
979	5987	122
980	5993	116
981	5999	109
982	6005	103
983	6011	97
984	6017	91
985	6024	85
986	6029	79
987	6035	73
988	6041	67
989	6047	61
990	6053	54
991	6057	48
992	6064	42
993	6072	36
994	6077	30
995	6083	24
996	6090	18
997	6096	12
998	6102	6
999	6108	0
